"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
1,RECMF-8300,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8300,CR.BR.030.TAPRO,76.2,401032,TAKA PRO r?ng B30,,100
2,RECMF-8310,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8310,CR.BR.031.TAPRO,78.7,401032,TAKA PRO r?ng B31,,100
3,RECMF-8320,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8320,CR.BR.032.TAPRO,81.3,401032,TAKA PRO r?ng B32,,100
4,RECMF-8330,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8330,CR.BR.033.TAPRO,83.8,401032,TAKA PRO r?ng B33,,80
5,RECMF-8340,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8340,CR.BR.034.TAPRO,86.4,401032,TAKA PRO r?ng B34,,80
6,RECMF-8350,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8350,CR.BR.035.TAPRO,88.9,401032,TAKA PRO r?ng B35,,75
7,RECMF-8360,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8360,CR.BR.036.TAPRO,91.4,401032,TAKA PRO r?ng B36,,75
8,RECMF-8370,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8370,CR.BR.037.TAPRO,94,401032,TAKA PRO r?ng B37,,75
9,RECMF-8380,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8380,CR.BR.038.TAPRO,96.5,401032,TAKA PRO r?ng B38,,75
10,RECMF-8390,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8390,CR.BR.039.TAPRO,99.1,401032,TAKA PRO r?ng B39,,75
11,RECMF-8400,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8400,CR.BR.040.TAPRO,101.6,401032,TAKA PRO r?ng B40,,75
12,RECMF-8410,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8410,CR.BR.041.TAPRO,104.1,401032,TAKA PRO r?ng B41,,75
13,RECMF-8420,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8420,CR.BR.042.TAPRO,106.7,401032,TAKA PRO r?ng B42,,75
